,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,MBTI
222,richardbranson,"RT @VirginUnite: Despite the growing support for clemency, Brandon is still scheduled to be killed tomorrow in the federal death chamber in…",Brilliant to chat to @AdamMGrant about his book Originals for my book club with @Literati. We spoke about how to come up with more good ideas and why we hold ourselves back from pursuing our most original ideas https://t.co/Lnvu07EBg0 https://t.co/paHVXR60aN,"RT @virgingalactic: When General Chuck Yeager broke the sound barrier in the Bell X-1, “Glamorous Glennis”, he redefined the realms of poss…","RT @KimKardashian: A terrible case has been brought to my attention and I need your help.  Without it, on December 12th Brandon Bernard is…","RT @VirginUnite: Join @RockyMtnInst rising leaders Lauren Shwisberg, Sydney Jules &amp; Ryan Shea for a discussion and Q&amp;A with CEO @JulesKorte…","Insightful, moving words from Van Jones on hopefulness and how to work effectively with people you don’t always agree with https://t.co/n5Aw9SDY2Q @VanJones68",Congratulations to all the companies appearing on the 2020 Sunday Times Virgin Atlantic Fast Track 100 league table @ST_Business #VirginAtlanticFastTrack100 https://t.co/aJbbBDoMpg @VirginAtlantic,"Delighted to see the UN’s Commission on Narcotic Drugs remove medical cannabis from its schedule of most dangerous drugs, a long overdue step in the right direction https://t.co/8x011A5DXq",Exciting to see the spacesuits the @virgingalactic pilots will wear as they fly astronauts to space – fantastic designs https://t.co/UQNKjJUv4Y @UnderArmour #VirginFamily https://t.co/LmDoegm2mG,"RT @thebteamhq: The UK is stepping up to help keep the promise of the #ParisAgreement. 

With a strengthened UK 2030 target, business has t…",Proud dad! https://t.co/IyD5e0d8Di,Excited to see #LauncherOne fly again - @Virgin_Orbit has announced the window for #LaunchDemo2 https://t.co/VfIQsPSjPM https://t.co/mumg2dk6KE,,,,ESFP
224,FarOutAkhtar,"How Dil Chahta Hai Won Dimple Kapadia Her Role In Christopher Nolan’s Tenet 😊❤️ .. that’s really sweet but the real work was done by talent manager @preena621. Shine on Purvi. 👍🏽❤️ 

https://t.co/FVXhy7A6MQ",,,,,,,,,,,,,,,INFP
225,143redangel,Just posted a photo https://t.co/6XHKkdIMus,"From the bottom of my heart, salamat po sa lahat ng bumubuo ng @rawrawards &amp; @lionheartvnet sa pagkilala po bilang Most Admired Celebrity 🙏🏻 Mabuhay po kayo! 

#RawrAwards2020 https://t.co/s1tF6m7apt","Maraming salamat po 10th @edukcircle Awards for the Most Influential Celebrity Of The Decade recognition 🙏🏻 

Congratulations also to all fellow awardees ❤️

#EdukCircle2020 https://t.co/ylBrETQAea",Just posted a photo https://t.co/ZkAXIukodd,,,,,,,,,,,,ESFJ
226,SarahKSilverman,"THIS Sunday, 12/13 at 4pm ET you can listen to Buddy the Elf say, ""You sit on a throne of lies!"" and then imagine he's talking to Trump.

Get tickets to #ElfForGeorgia &amp; support GOTV efforts in GA. 

RSVP here: https://t.co/Y11ykQ9CeN
https://t.co/GW7iiJlLFS","Holy shit I’m in a vid w @SteveKerr 
But more importantly, GET YOUR ASS COVERED https://t.co/rHoqFTZDvw",Hey @SusanWojcicki - there is blood on your hands sis. What have you done to prevent radicalization on YT? https://t.co/DRfkyvVW3V,RT @CBSNews: A newly released report suggests Facebook isn't flagging most misinformation. Avaaz analyzed a cross section of election misin…,"RT @heartheassembly: OUT NOW! | Part 4 of our David Cross season w/Sarah Silverman, Janeane Garofalo, Bob Odenkirk &amp; AO Scott of the NY Tim…",@MichaelSkolnik I take it every day in liquid form. And C and zinc....,I’m so tired all the time. If I’m not working I’m sleeping. When will it be enough sleep? I take herbs and vitamins and all that shit... I always chalk it up to having a very active dream life and needing to be there a lot but what the hell,What a month. Remake “Rudy” https://t.co/KgZJp9ROki,"RT @MeidasTouch: 📺 NEW VIDEO

If you are ready to win two Senate seats in Georgia help us get 15,000 retweets in the next two hours. Watch,…",RT @MohanadElshieky: Rudy Giuliani can now only hear his farts,Beautiful thread https://t.co/VChFcCZP8c,RT @ossoff: Where is Senator Perdue for Georgia's African American community? https://t.co/xtFypImGjS,"There’s still time for you to get tickets for the #VeepUncut live reading of their episode “Mother."" All donations go to help GA voters get to the polls which means the word “fuck” has never been more patriotic!
https://t.co/PGY9cBOVeu

https://t.co/bgfVwxxWBo","RT @BayAreaWolf_: @DrEricDing I’m of the opinion that since Rudy has been so proud of himself for not wearing a mask, that he should be ref…","RT @DrEricDing: Rudy Giuliani asking one of his witnesses: “Would you be comfortable taking your mask off some people can hear you?” 

He w…",ENTP
227,50cent,RT if you’re watching #ForLife right now @ForLife_ABC 🔥 https://t.co/Bv4KsELrnk,it’s lit 🔥tonight 10pm catch ABC #1 show FOR LIFE. @ForLife_ABC  #bransoncognac #lecheminduroi #ForLife https://t.co/zSKMUPnAO7,RT @ForLife_ABC: Aaron has faced the court but now he must face his past. #ForLife is new tonight at 10|9c! https://t.co/AMtP9jNVC3,"i’m getting back in shape, in shape😕 girl you want to see go to my LOL ONLYFANS PAGE.😆😆😆. 🤨😤Now why would you go looking at, I am a boy Damon WTF 😠I change my mind. LOL 🤣 https://t.co/HjBKouTvm2","Black Mafia Family coming soon, Casting now! https://t.co/V2FI7i33mk",if you missed FORLIFE catch it now on HuLu on demand. @ForLife_ABC #bransoncognac #lecheminduroi #forlife https://t.co/lipi4c6YX0,"my little Big Man Sire, is not mean at all 😆he just look like that because of me. LOL 🤨it’s just his eyebrows.  #bransoncognac #lecheminduroi https://t.co/whOPWflS08","Buy 2 tees, get the 3rd FREE! Sale ends in 4 Hours • SHOP NOW• https://t.co/ddE43QFjBY

#GUnit @gunitbrand https://t.co/DczanLglEC","👀who approved this change, I was busy doing other shit but who approved it. 🤔 https://t.co/Ci8nbekCdy",https://t.co/cha0R1BOvv,https://t.co/4Nvs44MlJs,https://t.co/QipoKn7cRN,https://t.co/qlzrlYXGLA,https://t.co/nJMyM6S68M,"Buy 2 Tees &amp; Get the 3rd One FREE! This Weekend Only! Shop Now • https://t.co/ddE43QFjBY 

#GUnit @gunitbrand https://t.co/7t8LzrOcnK",ISFJ
230,Anitta,RT @latercera: 🎤🎧 Estamos con @Anitta en Sesiones Íntimas de @CultoLT ▶https://t.co/bsStxhENaW https://t.co/Gft5LBMRTD,Hoje tá com cara de sábado ou eu to doida?,👁 https://t.co/iGmbEDIle8,Uma semana pra estreia de Anitta: Made In Honório ❤️,✨ https://t.co/SWOEt3xpzT,"I have more than 10M followers on @Spotify! Thank you so much for listening to my music!

¡Tengo más de 10 millones de seguidores en Spotify! ¡Muchas gracias por escuchar mi música!

https://t.co/WtdnMs68H9 https://t.co/dpim7BlFPm","Ariana fica canceriana quando recebe msg do @. ENTENDA kkk #BeatsZodiac O que deixa vocês mais assim amorzinho como cancerianes?

*Beba Com Moderação #publi https://t.co/pJosVU0wP1","Do you follow me on @Spotify?

¿Me sigues en Spotify?

https://t.co/WtdnMsnK5J https://t.co/tHemfzMv6V","Domingo é dia da preguiça, né amores? https://t.co/BPbPUOAsAw","O melhor signo é áries porque combina com todos os signos. #MelhorSigno 🔮 #BeatsZodiac

ⓘ 𝗙𝗼𝗻𝘁𝗲𝘀 𝗼𝗳𝗶𝗰𝗶𝗮𝗶𝘀 𝗮𝗶𝗻𝗱𝗮 𝗲𝘀𝘁ã𝗼 𝘃𝗲𝗿𝗶𝗳𝗶𝗰𝗮𝗻𝗱𝗼 𝗮 𝗶𝗻𝗳𝗼𝗿𝗺𝗮çã𝗼, 𝗺𝗮𝘀 𝗔𝗻𝗶𝘁𝘁𝗮 𝗻𝘂𝗻𝗰𝗮 𝘁á 𝗲𝗿𝗿𝗮𝗱𝗮 *Beba Com Moderação #publi https://t.co/i8mgvin3kh",@Guilhermeamorii Vou falar com ele pra gente providenciar um funk pra vocês ano que vem rs,"Não, não tem música minha com o Pedro Sampaio vindo por aí pra vocês escutarem 😘 .... vamos seguir dando play no remix de Me Gusta rs",Para @Los40 ... no gané el premio pero tengo nominaciones e me puso demasiado guapa para no postear la foto 😌 https://t.co/rLkWPhUe56,Wild https://t.co/PvrvEzkhgn,"Pra quem não sabe se vai de Me Gusta ou de Me Gusta Remix, é só apertar pause nesse vídeo e deixar o destino se encarregar dessa escolha 😜 Me falem o que deu nos comentários! https://t.co/pKHecgTqN4",ESTP
232,tim_cook,"Great to be working with @DenmarkTechSC and nearly three dozen HBCUs to empower future entrepreneurs, leaders and creators! https://t.co/5oORWF8KAC","Congratulations to the hundreds of students across Indonesia and Brazil graduating from the Apple Developer Academy this week! In a year of unprecedented challenges, your talent, creativity and ingenuity have shone through. We can’t wait to see what you do next!","As we work together to fight the rise in cases in California, exposure notifications will help slow the spread of COVID-19 and put our neighbors’ health first. Thank you @GavinNewsom &amp; @Google for helping bring CA Notify to Californians while putting privacy at the very center. https://t.co/LbsBQn6zCD","RT @lisapjackson: .@Malala, it was wonderful spending time with you again talking about the future and how we can inspire every person to h…","It’s incredible to see art, creativity and technology come together in celebration of a new exhibit honoring Aotearoa New Zealand’s indigenous Māori people and culture. Congratulations to @ChelseaPaparoa and all the artists involved. #ShotOniPhone https://t.co/6nF6TJO0ZC https://t.co/nlbiko8I9M","Apple is proud to expand our partnership with @MalalaFund to work toward a better world for all. As champions for climate action and education, @Malala and @LisaPJackson are a force for change and their work has never been more urgent or important. https://t.co/IXfeLpTXKi",The most powerful technology empowers everyone. That’s why accessibility is built into everything we create. #IDPD https://t.co/WZu6nm5XWG,,,,,,,,,ISTJ
233,kellyclarkson,"This Friday I'll be stopping by @FallonTonight to sing my new Christmas single #UnderTheMistletoe with @BrettEldredge! Tune in, y'all! ❄️🎄 https://t.co/ime0wo9jvD",RT @Radiodotcom: https://t.co/o5F2snf2Ql's 2020 #HolidayMusicFest is our gift to you this year! Which artists are you most excited to see?…,"RT @Radiodotcom: https://t.co/o5F2snf2Ql’s #HolidayMusicFest presents… 🎁 @kellyclarkson 🎁 

Watch Monday, Dec 21, right here on our Twitter…",Ready to enter for your chance to win in the Kelly Christmas Countdown!? The giveaway for Day 3 is now live! 🙌🏻 https://t.co/7VSzTP3cdh https://t.co/KTBxgnJCAF,Did y’all see my performance with @BrettEldredge of Under The Mistletoe on @NBCTheVoice?? #TeamKelly #TheVoice https://t.co/UDdGSgTDtV,Time for Day 2 of the Kelly Christmas Countdown! Enter for your chance to win right now at https://t.co/0oDh0BPtMD. Good luck! https://t.co/8PVVyygtS3,It's time to vote y'all! Show @DeSzMusicOffic and @camiclune some ❤️#TeamKelly #TheVoice https://t.co/kGeTLHhKbI,It's the Top 9 tonight y'all! Let's do this @DeSzMusicOffic @camiclune #TeamKelly #TheVoice https://t.co/M2uBIItbso,12 DAYS OF GIVEAWAYS! 🎁 This holiday season I'll be giving away TWELVE PRIZES for the Kelly Christmas Countdown 🎄❤️ The best part is you can re-enter the sweepstakes each day from 12/7-12/22! Enter today's for a chance to win a signed ornament from me! https://t.co/0oDh0BPtMD https://t.co/C4NRQz5ckZ,"It's Christmas time, y'all! Tune in tonight to @NBCTheVoice for our holiday special! Grab some hot chocolate, gather around the fire, and come listen to some holiday tunes ☺️❤️ #TheVoice #TeamKelly https://t.co/gwUZ5HGj3t",Watching my kids opening their presents is by far my favorite part of Christmas 😍 What's your favorite Christmas morning memory with your kids?? #TeamKelly #TheVoice https://t.co/cRevA88oF5,"So much fun celebrating the tree lighting ceremony for #RockCenterXMAS! 🎄❤️ 

Photo: Chris Haston/NBC https://t.co/0nERJ4tQ3c",,,,ENFP
235,victoriabeckham,Make it personal with our bespoke monogramming service. Available on a select edit of VB pieces until the 14th December. Discover more at https://t.co/rs38b4Tywj. https://t.co/kW0k36cSH4,Drop 4 is here. Discover the latest #ReebokxVictoriaBeckham collection now: https://t.co/68BbvfVh7e https://t.co/lqdVLXQT95,,,,,,,,,,,,,,ISTJ
237,myogiadityanath,"आदरणीय प्रधानमंत्री जी की मंशा के अनुरूप कृषक हित @UPGovt की शीर्ष प्राथमिकता है।

उसी क्रम में कोरोना कालखंड में भी प्रदेश की 119 चीनी मिलों का संचालन किया गया।

यही नहीं किसानों को ₹1 लाख 12 हजार करोड़ के गन्ना मूल्य का भी भुगतान किया गया है। यह उत्तर प्रदेश में एक रिकॉर्ड है।","पिपराइच एवं मुंडेरवा चीनी मिल में सल्फरलेस प्लांट के लोकार्पण की पूर्वी उत्तर प्रदेश के सभी किसान भाइयों को हार्दिक बधाई।

यहां से तैयार रिफाइंड शुगर बड़े-बड़े होटलों, चिकित्सालयों, दवा कंपनियों और अन्य स्थानों में प्रयोग होगी।

यह पूर्वी उत्तर प्रदेश को नई पहचान प्रदान करेगा।","राजस्थान के जिला परिषद एवं पंचायत समिति के चुनावों में @BJP4Rajasthan को प्राप्त विजय की राजस्थान भाजपा के हर कार्यकर्ता को हार्दिक बधाई।

यह विजय, आदरणीय प्रधानमंत्री जी के नेतृत्व व भाजपा की जनपक्षीय नीतियों के प्रति जनविश्वास का प्रकटीकरण है।

यह जनकल्याण की भावना की जीत है।","जनपद गोरखपुर की पिपराइच इकाई में स्थापित 5,000 टी.सी.डी. क्षमता की नई चीनी मिल में सल्फरलेस प्लांट का लोकार्पण... https://t.co/hXXlbOyXDu","निष्पक्ष एवं पारदर्शी व्यवस्था के द्वारा ""हर हाथ को काम"" का संकल्प उ.प्र. में पूरित हो रहा है।

शीघ्र ही हम 4 लाख से अधिक सरकारी नियुक्ति की प्रक्रिया को पूर्ण कर देंगे।

@UPGovt ने डेढ़ करोड़ से अधिक नौजवानों को स्वरोजगार के साथ जोड़ कर उन्हें स्वावलंबन की ओर भी अग्रसर किया है।","निष्पक्ष एवं पारदर्शी भर्ती प्रक्रिया के द्वारा चयनित 3209 नलकूप चालकों को आज @JalShaktiUP का हिस्सा बनने पर हार्दिक बधाई।

ऊर्जा और प्रतिभा से पूरित आप सभी जन, किसान भाइयों के आय अभिवर्धन में महती भूमिका का निर्वहन करने वाले हैं।

आप सभी को उज्ज्वल भविष्य हेतु शुभकामनाएं!","निष्पक्ष एवं पारदर्शी भर्ती प्रक्रिया के अंतर्गत सिंचाई एवं जल संसाधन विभाग के नवचयनित 3,209 नलकूप चालकों को नियुक्ति पत्र वितरण एवं उनसे संवाद... https://t.co/s60cqv3nys","आदरणीय प्रधानमंत्री जी की दृष्टि, मार्गदर्शन व ईज ऑफ डूइंग बिजनेस के लिए किए गए असाधारण प्रयासों के लिए हम सब उनके कृतज्ञ हैं।

उ.प्र. में अधिकाधिक निवेश लाने हेतु निवेश प्रोत्साहन एजेंसी के तौर पर गठित 'इन्वेस्ट यूपी' , @investindia के साथ मिलकर कार्य करने के लिए सदैव तत्पर है।",".@UNCTAD का प्रतिष्ठित इन्वेस्टमेंट प्रमोशन अवार्ड 2020, @investindia को प्रदान किए जाने पर मैं आदरणीय PM श्री @narendramodi जी को सभी प्रदेशवासियों की ओर से बधाई देता हूं।

यह सम्मान भारत में व्यापार के अनुकूल वातावरण की स्थापना के प्रति वैश्विक स्वीकार्यता का प्राकट्य है। https://t.co/sr9KHUg6lH","जब देश कोरोना के खिलाफ महत्वपूर्ण लड़ाई को पूरी मजबूती के साथ लड़ रहा है। उस समय विपक्ष द्वारा भोले-भाले किसानों को गुमराह कर कोरोना के विरुद्ध समर को कमजोर करने का कुत्सित प्रयास किया जा रहा है।

आमजन के जीवन और स्वास्थ्य से खिलवाड़ का यह प्रयास कतई स्वीकार्य नहीं होगा।","आज भारत बंद का समर्थन कर अराजकता फैलाने वाले कांग्रेस समेत अनेक दल यह बताएं कि वर्ष 2010-11 के दौरान जिस यूपीए सरकार ने APMC एक्ट में व्यापक संशोधन की वकालत की थी और राज्यों के मुख्यमंत्रियों को इससे संबंधित पत्र लिखे थे, आखिर उस समय उन्होंने यूपीए सरकार का समर्थन क्यों किया था?","श्री मुलायम सिंह जी ने 2019 में कृषि से संबंधित स्टैंडिंग कमेटी में एपीएमसी मॉडल एक्ट में संशोधन को ""किसान हितैषी"" बताते हुए उसका समर्थन किया था।

फिर आज यह राजनीतिक दल भारत बंद का समर्थन किस मुंह से कर रहे हैं, इसका जवाब इन्हें देश की जनता को देना होगा।","मूल्यों व आदर्शों के बगैर राजनीति कभी जन विश्वास का प्रतीक नहीं बन सकती है।

वह सभी राजनीतिक दल, जिन्होंने कृषि संबंधी सुधार के इस महत्वपूर्ण कदम का सत्ता में रहते हुए समर्थन किया था, अपने इलेक्शन मेनिफेस्टो का हिस्सा बनाया था, आज उसका विरोध कर जन विश्वास पर कुठाराघात कर रहे हैं।","यूपीए सरकार में कांग्रेस व उसके सहयोगी दलों ने किसानों को हमेशा हथियार बनाया लेकिन किसान हित में कोई भी कदम उठाने में सदैव संकोच करते रहे। यह उनके दोहरे चरित्र को दर्शाता है।

यह दल आज भी भोले-भाले किसानों के कंधों पर बंदूक रख कर देश में अराजकता फैलाने का प्रयास कर रहे हैं।","केंद्र सरकार ने किसानों के हित में कृषि संबंधी सुधारों से जुड़े महत्वपूर्ण विधेयकों के माध्यम से पिछले 06 वर्षों में अनेक क्रांतिकारी कदम उठाए हैं।

किन्तु देश के कुछ राजनीतिक दल भोले-भाले किसानों को भ्रमित कर वातावरण खराब करने का प्रयास कर रहे हैं।",ISTJ
238,FortniteGame,Harmonize with the squad and get the Sing Along Emote in the Item Shop now! https://t.co/yRRntpHmBb,"There's a cold front on the horizon, it's time to bundle up! 

Grab the Bundles Outfit in the Item shop now. https://t.co/SygCQLbAok",RT @R24REAL: @ItsBrantore @Alerollo23 @FortniteGame #Fortography https://t.co/KwEJXjEGqA,"Built to crack more than just nuts, keep your skull safe!

Crackshot is back with a new style in the Item Shop now. https://t.co/JsAUqKDlA8","RT @Alerollo23: @FortniteGame 
#Fortography https://t.co/zTv1nRWQw2","Shine like a diamond with this brilliant display of bling.

Get the new Diamond Diva Pack in the Item Shop now! https://t.co/G7nl5WALVF","You already know what time it is.

Grab @PizoTV's handpicked Locker Bundle in the Item Shop now! https://t.co/stSEP6WChc","RT @MLB_PLAYERS: 🔥RIGHT NOW🔥

The final four #MLBPlayer duos compete in the MLB Players Cup ft. @FortniteGame for bragging rights &amp; a share…","It's time to show us your best Fortography!

With Fortography we'll be asking you all to share a certain themed screenshot with us. The first theme is showcasing cinematic action in the new season.

Use #Fortography by Dec 15 to submit.

More info here: https://t.co/bx9UxxFH7Z","Jump into battle with a hero that's truly your own. With over a dozen customizable components, including using Emoticons as Stickers, the possibilities are boundless! https://t.co/k8M4IEYKtT","RT @playvs: LIVE NOW!

PlayVS College Fortnite Fall 2020 Finals.
33 Trios.
$100k, big merch &amp; the trophy on the line.
LET'S GOOOOOOO.

📺 :…","Bringing holiday cheer with the sweet taste of victory. 

Get the Nog Ops and Yuletide Ranger Outfits in the Item Shop now! https://t.co/LepyNcHUh4","RT @ESPNPR: Starting Sunday, @MLB_PLAYERS will compete in the MLB Players Cup featuring @FortniteGame for bragging rights &amp; a share of the…","Learn how to get two months of Disney+ on us with any real money purchase in Fortnite. New Disney+ subscribers aged 18+ only. Select countries only, offer varies by country. Visit https://t.co/eKLDxfgbqi","Live...and in game! Poison Ivy, Midas Rex, and the one and only JOKER 🤡

Grab @DCcomics The Last Laugh Bundle in the Shop now. https://t.co/8rJRbhOtA6",ESFP
239,cnnarabic,"انفجار صاروخ ""ستار شيب"" العملاق لشركة سبيس إكس خلال اختباره في ولاية تكساس
https://t.co/RwmxXkGX5R","وزير الخارجية المصري: ""تفاهمات واتصالات تمت"" بشأن المصالحة مع قطر
https://t.co/DI9iZ3PM8Q",قرية سعودية هجرها سكانها قبل حوالي 40 عاماً تعتبر إحدى 3 مدن إسلامية بالعالم أجمع ما تزال باقية https://t.co/E1zJxgPobZ,"رئيس الحكومة المصرية: توجيهات من #السيسي بالتحول نحو دولة مدنية ديمقراطية
https://t.co/GjHewGqHWc",قد تبدو العلاقة الوطيدة التي تربط البشر بالحيوانات الأليفة مألوفةً لدى البعض.. ولكن هل تتخيل أن تربطك علاقة وثيقة مع شبل ملك الغابة؟ https://t.co/84GcqVcTOT,"#عاجل.. مشروع قرار وقف بيع مقاتلات اف 35 إلى الإمارات يفشل في نيل دعم أغلبية أعضاء مجلس الشيوخ
https://t.co/RZeCGUBOqk https://t.co/X7QMhlRpCY","#عاجل.. مشروع قرار وقف بيع #الإمارات أسلحة أمريكية يفشل في الحصول على أغلبية بمجلس الشيوخ
https://t.co/wKjANbb7qz","بالصور
أساطير الأشباح وراء حفرة ""فم الشيطان"" في ملعب غولف بالمكسيك.. ما حقيقتها؟
https://t.co/ZvDddaUafq","هانتر بايدن يخضع للتحقيق بشأن ضرائبه.. والرئيس المنتخب: فخور بابني
https://t.co/pYcr6D4a1l","أكثر من 40 ولاية أمريكية تقاضي فيسبوك.. هل حان تفكيك عملاق وسائل التواصل الاجتماعي؟
https://t.co/MsICxSeKsx",#عاجل.. نجل جو #بايدن يخضع للتحقيق بشأن الضرائب https://t.co/vVcliWA71r https://t.co/pS17SUaVuq,"هل تصبح الشواطئ أكثر أماناً في عهدة نظم الإنقاذ بتقينة الذكاء الاصطناعي؟
https://t.co/gQhawEeG89","قالت إنها ""تعرضت لحملة غير مسبوقة"" ومهاترات خلقت بلبلة.. الرئيس الفلسطيني يقبل استقالة حنان عشراوي https://t.co/peKsm2yfXo","شاهدوا ما وجده مراسل CNN في موقع اغتيال العالم النووي الإيراني فخري زادة https://t.co/7yH31Nq0JX
@npwcnn https://t.co/rGdrdLopQv","شاهد.. راكبو أمواج يصابون بالذهول بعد تشكل ""وحوش"" مائية عملاقة في كاليفورنيا https://t.co/OqUj98Kv3p",ESFJ
240,Camila_Cabello,"Merry christmas to you and yours 🖤 #TheChristmasSong video out now. Shot by us, directed by Tarzan from our quarantine bubble. @ShawnMendes 
Every stream supports those in need through @feedingamerica!
https://t.co/kKt9C47k3s https://t.co/afihAkdst1","RT @RyanHoliday: On the @dailystoic podcast, I spoke with pop superstar @Camila_Cabello about how we have the power to decide our responses…",@dominiqtrix got you always ! I feel you. Healing is not easy but the journey is worth it. You are so loved ❤️,We love you all so much &amp; hope you get to enjoy this song over a very safe &amp; merry holiday!  It would make our holidays if you donated to help out your community https://t.co/sjKFSUAxAv! Let’s make our little corner of the world more beautiful ❤️ Tarzan says hi. @ShawnMendes,"Shawn &amp; I wanted to send all our love to you amazing humans &amp; we put together something special for you, our rendition of #TheChristmasSong ❤️All streams will support those in need right now - to kick off we are donating $100K to @FeedingAmerica https://t.co/nxcMGD47cv https://t.co/OCY8CnoY0X",RT @ShawnMendes: #WONDER the album is out now 🖤 https://t.co/0D6eCKsLYU https://t.co/iOXuTUulZI,"During this time of giving please consider supporting the great work of @SavetheChildren so they can help kids around the world grow up healthy, educated and safe to be who they want to be ❤️❤️❤️ Thank you guys so much. https://t.co/kg47M3t1qk","This video 😭I am such a believer in @SavetheChildren and their mission. They’ve been operating for decades serving children and families around the world, especially during the challenging times like we are facing right now. https://t.co/kg47M3t1qk https://t.co/dsSEUyKx8Y",,,,,,,,ISFP
242,jimmykimmel,.@RudyGiuliani survived the Transylvanian Rinderpest Epidemic of 1304. He should have no trouble with the COVID of 19.,RT @TomBrady: Not bad @tonyromo...getting some strong spiderman vibes from that @BrettFavre impression https://t.co/qm9y9vTg6N,Two frontline heroes play for a million bucks tonight on #WhoWantsToBeAMillionaire! https://t.co/qiLUaONzp5,I thought vampires were immune because of the bat thing? https://t.co/p8wSg3l2HS,"I don't need a trophy, but a certificate would be nice too.... https://t.co/0q589uvYDs","Save America.... #ShowUpForGeorgia 

Donate here.... https://t.co/WSHR6coSVo
https://t.co/6B9VeUerst","I knew it. Hope you are too, hotpants. https://t.co/TkVCnK1p5q",good going @LAKings https://t.co/pLKO0jdReS,it's about time you checked in. I'm fine. Thank you. https://t.co/qqWsvpEy5j,,,,,,,ESFP
245,LunaMaya26,@RENDY0816 Masaa sihhhh,@RENDY0816 Parahhhh,@sodaberry118 Hahahha samaaa,@cocoayaw U too,@monophaney Hemm belom sampe sana kayanya,@febrian_efiza Gak sabar pulang dan nonton lagi,@aaijkxx 😌,Aww yang abis ulang tahun tambah ganteng 😍 https://t.co/D3RKAieugi,😙😙 https://t.co/RZ1HzGqLOl,Aduhhh ehh ehh 😍 https://t.co/1T59qhGCyQ,"Agak telat sih, tapi epd 1 start up ini bagus ya, nangis mulu. 😁",,,,,ESTJ
246,g1,Donos de bares e restaurantes de BH protestam contra decreto da prefeitura que proíbe venda de bebidas alcoólicas https://t.co/QG7IqzHqYE #G1 https://t.co/sysTFthyBB,Covid: relator de MP na Câmara inclui meta de vacinação de toda a população em até 12 meses https://t.co/29ZDQRCOxS #G1 https://t.co/FRqhmVRqsd,"Bruno Covas seguirá com imunoterapia e fará sessões de radioterapia, diz hospital https://t.co/D6f7T4EtLC #G1 https://t.co/5VJr6O93W0",Relatório apresentado por comissão da Câmara atribui queimadas no Pantanal a ações criminosas e conduta do governo https://t.co/5WEMQ12qUg #G1 https://t.co/RE5AIYtPIy,Pantone anuncia cinza 'ultimate gray' e amarelo 'illuminating' como cores de 2021 https://t.co/KLfOzKZvZO #G1 https://t.co/kGfsule3fH,Doria diz que dez estados solicitaram a vacina CoronaVac https://t.co/dBQUmaBW44 #G1 https://t.co/FJetf6QwDU,"Conflito na Etiópia está 'fora de controle', alerta Bachelet https://t.co/Q9vLpOJKbw #G1 https://t.co/0kJrcnCw2O","Com isenção da conta de luz, Aneel autoriza R$ 51 milhões para companhia de energia do Amapá https://t.co/Ziy6lXsevT #G1 https://t.co/beqbq56Hp0",Gavião é resgatado após se ferir em arame farpado de prédio no litoral de SP https://t.co/SmI7xo76Qw #G1 https://t.co/B04NpEvxL4,"Bolsonaro zera tarifa para importar armas, Brasil passa de 179 mil mortes por Covid-19 e Pazuello muda de novo previsão de data para vacinação, a queda do ministro do Turismo, e o processo contra o Facebook nos EUA por monopólio ilegal ==&gt; https://t.co/Pn7uwmxjS1 #G1 #ResumoDoDia https://t.co/Rl9MA2tBjl",Governo da França apresenta projeto de lei contra 'islamismo radical' https://t.co/0QljR2XJoT #G1 https://t.co/XKAaK6x02p,Bancada do PSB na Câmara forma maioria a favor da candidatura de Arthur Lira. Leia no blog do @gcamarotti https://t.co/cCu2ZdSlvf #G1 https://t.co/13CQOC2qaR,Sem-teto é morto a pauladas no DF https://t.co/EqVlZNmOsi #G1 https://t.co/1AoZu9PbKM,"RT @geglobo: Morre o ex-atacante italiano Paolo Rossi, algoz do Brasil na Copa de 82, informa a ""Gazzetta dello Sport"" https://t.co/7yu6xAs…",Fux decide julgar ações sobre vacinação obrigatória contra Covid-19 fora do plenário virtual https://t.co/rcyZpY0eGR #G1 https://t.co/TQHteItulD,INTP
247,LittleMix,The countdown is onnn..LM5: The Tour Film premieres in cinemas this week!! Find listings and timings at https://t.co/bXaKFL4Nlx 🎉 https://t.co/0uOC6DzKD7,Breathe is the only mid-tempo on #Confetti and we love how euphoric it is 💙. The perfect album closer https://t.co/acT7mgqBs8 https://t.co/YcUWBBID3X,💙 https://t.co/PHCGex8mai,This was such a fun performance 🚀🔥 Our performance of Holiday / Touch from @LMTheSearch is live on YouTube now https://t.co/1owHCUWmYs https://t.co/Hkh41jXnJ3,Anyone else feeling a bit Christmassy today?!🎄🎄🎄 https://t.co/F5u3KHIQef,"Confetti, the #1 album, out now.","RT @WayneDavid81: I made this @LittleMix &amp; @DanniiMinogue mash up because, well just because. 
#PutTheSweetMelodyOnIt https://t.co/B909HMmw…",Sweet Melody is and has always been one of my fave songs on #Confetti 🔥🖤 I just think it's Little Mix at its best... it's another banger https://t.co/1T7CqS2K4s https://t.co/e8ctpyaWtX,Mood: 0.001 seconds into #Confetti... https://t.co/eOCI4Y56dP,,,,,,,ESFP
